model,task,repeat,arm,passed,generation_calls,generation_tokens,standalone_preparation_tokens,source,record,record_sha256,original_record
gpt4o,eda_210,1,direct,False,3,2580,0,formal-v1,records/units/gpt4o/eda_210/1/direct/record.json,50e77f5d6e249d4419bbecbf0fa874f2671ffb58cf4a0196d024b90d975af6e4,formal-v1/units/gpt4o/eda_210/1/direct/record.json
gpt4o,eda_210,3,analogcoder,False,3,10215,0,formal-v1,records/units/gpt4o/eda_210/3/analogcoder/record.json,b27cc6b6d0691ab36b2c6a256d07e213bd0efde98a93d767becaec1d8dd1bb56,formal-v1/units/gpt4o/eda_210/3/analogcoder/record.json
gpt4o,eda_210,3,spicepilot,False,3,13470,0,formal-v1,records/units/gpt4o/eda_210/3/spicepilot/record.json,9404df52a625cbc790f2db833d470ec35640c64d4a65873e2a4e10046ffc092c,formal-v1/units/gpt4o/eda_210/3/spicepilot/record.json
gpt4o,eda_210,3,direct,False,3,2628,0,formal-v1,records/units/gpt4o/eda_210/3/direct/record.json,b919ea8cd37ef0f043595c99d4c2fee0008d98a9100689e4fa8c3960d50a0ac2,formal-v1/units/gpt4o/eda_210/3/direct/record.json
gpt4o,eda_210,2,analogcoder,False,3,10103,0,formal-v1,records/units/gpt4o/eda_210/2/analogcoder/record.json,1d593bd872b66af23434cdf5979a605a9a35edf4a6a4d0ebcfcc0d7ffdc44e6c,formal-v1/units/gpt4o/eda_210/2/analogcoder/record.json
gpt4o,eda_210,2,spicepilot,False,3,13545,0,formal-v1,records/units/gpt4o/eda_210/2/spicepilot/record.json,019e22b4b2ea366d6b28fdbfdc64b0032db4c87c56df6a0c60619e8335b63388,formal-v1/units/gpt4o/eda_210/2/spicepilot/record.json
gpt4o,eda_210,2,direct,False,3,2636,0,formal-v1,records/units/gpt4o/eda_210/2/direct/record.json,67b6afdfa969250c8c41a10c3134cf14a97c6f6eb55ea5517711d93ca56a7384,formal-v1/units/gpt4o/eda_210/2/direct/record.json
gpt4o,eda_203,1,analogcoder,False,3,10699,0,formal-v1,records/units/gpt4o/eda_203/1/analogcoder/record.json,7f0c260e16edf3db7126cf4708de14a9c92cb0000a95d52d402e543c4a4223a2,formal-v1/units/gpt4o/eda_203/1/analogcoder/record.json
gpt4o,eda_203,1,spicepilot,False,3,13354,0,formal-v1,records/units/gpt4o/eda_203/1/spicepilot/record.json,219cc2ba41ed3635b212de46ff9ea0150e0e6221df312a940d25984358087c93,formal-v1/units/gpt4o/eda_203/1/spicepilot/record.json
gpt4o,eda_203,1,direct,False,3,2357,0,formal-v1,records/units/gpt4o/eda_203/1/direct/record.json,da020ae6a24361d07a2a37613c33ea5e735602b4a7b5f5839d91955a86c1b2a3,formal-v1/units/gpt4o/eda_203/1/direct/record.json
gpt4o,eda_203,3,analogcoder,False,3,10412,0,formal-v1,records/units/gpt4o/eda_203/3/analogcoder/record.json,2b2b7b5a91cfcdd7c4c00c41e2087fc71406970546e251bb98d946f761e8f555,formal-v1/units/gpt4o/eda_203/3/analogcoder/record.json
